1,Indian Peafowl,
2,Greater Flamingo,
3,Asian Openbill,
4,Painted Stork,
5,Little Cormorant,
6,Indian Cormorant,
7,Gray Heron,
8,Great Egret,
9,Intermediate Egret,
10,Little Egret,
11,Western Reef-Heron,
12,white egret sp.,
13,Indian Pond-Heron,
14,Black-headed Ibis,
15,Eurasian Spoonbill,
16,Osprey,
17,Black-shouldered Kite,
18,Oriental Honey-buzzard,
19,Booted Eagle,
20,Black Kite,
21,Brahminy Kite,
22,White-bellied Sea-Eagle,
23,Indian Thick-knee,
24,Black-winged Stilt,
25,Black-bellied Plover,
26,Pacific Golden-Plover,
27,Red-wattled Lapwing,
28,Lesser Sand-Plover,
29,Greater Sand-Plover,
30,Lesser/Greater Sand-Plover,
31,Kentish Plover,
32,Little Ringed Plover,
33,Whimbrel,
34,Eurasian Curlew,
35,Bar-tailed Godwit,
36,Black-tailed Godwit,
37,Ruddy Turnstone,
38,Ruff,
39,Curlew Sandpiper,
40,Sanderling,
41,Dunlin,
42,Little Stint,
43,Terek Sandpiper,
44,Common Sandpiper,
45,Green Sandpiper,
46,Common Greenshank,
47,Marsh Sandpiper,
48,Common Redshank,
49,Oriental Pratincole,
50,shorebird sp.,
51,Slender-billed Gull,
52,Black-headed Gull,
53,Brown-headed Gull,
54,Lesser Black-backed Gull,
55,Larus sp.,
56,gull sp.,
57,Little Tern,
58,Gull-billed Tern,
59,Caspian Tern,
60,Whiskered Tern,
61,Great Crested Tern,
62,Lesser Crested Tern,
63,large tern sp.,
64,gull/tern sp.,
65,Rock Pigeon,
66,Pied Cuckoo,
67,Asian Palm-Swift,
68,White-throated Kingfisher,
69,Green Bee-eater,
70,Blue-tailed Bee-eater,
71,Eurasian Kestrel,
72,Peregrine Falcon,
73,Rose-ringed Parakeet,
74,shrike sp.,
75,Black Drongo,
76,House Crow,
77,Oriental Skylark,
78,Barn Swallow,
79,Red-vented Bulbul,
80,Common Myna,
81,Western Yellow Wagtail,
82,White-browed Wagtail,
83,Richard's Pipit,
84,Tricolored Munia,
